逐模块测试报告
生成时间: 2026-08-07 15:56:45
小模型: l:\模型空间\Qwen2.5-0.5B-Instruct
全模态: None

============================================================
模块测试汇总：PASS 44 / FAIL 0 / SKIP 1｜用时 1454.6s

[PASS] 配置管理 | 读取配置 | 项目=一体化全流程AI应用 v0.1.0
[PASS] 配置管理 | 获取配置项 | 默认端口=8765
[PASS] 配置管理 | 解析路径 | 上传目录=j:\最后版本！\数据\上传
[PASS] 配置管理 | 保存配置 | 临时改端口→保存→还原
[PASS] 硬件检测 | 检测硬件 | CUDA=True GPU=NVIDIA GeForce RTX 3080 Laptop GPU 显存可用=16383MB 状态=正常
[PASS] 硬件检测 | AMD检测 | 本机非 AMD，符合支持策略
[PASS] 硬件检测 | 显存预估 | 3B-fp16 推理需686MB 可推理=True 可微调=True
[PASS] 硬件检测 | 显存状态 | 实时显存可用=16383MB 内存可用=7.9GB
[PASS] 模型管理 | 扫描本地模型 | 发现 7 个模型: DeepSeek-R1-Distill-Qwen-7B, gemma-2-2b-it, Phi-3.5-mini-instruct, Qwen2.5-0.5B-Instruct...
[PASS] 模型管理 | 登记模型 | 模型索引已写入
[PASS] 模型管理 | 性能评估 | Qwen2.5-0.5B-Instruct 速度=21.34 tok/s 显存=8.1MB 可推理=True 可微调=True
[PASS] 数据预处理 | 上传并清洗 | 任务ID=2026080715324382be1f 类型=文本
[PASS] 数据预处理 | 话题分割 | 切分为 4 段
[PASS] 数据预处理 | ASR未配置友好错误 | 未配置ASR模型（需支持音频解码器的全模态模型）
[SKIP] 数据预处理 | ASR全模态链路 | 未提供 --全模态 参数
[PASS] 打标引擎 | 自动打标 | seg_001: 积极/['开心']/['真诚', '活泼'] | seg_002: 消极/['难过']
[PASS] 打标引擎 | 人工复核 | seg_002 标签已覆盖并落盘
[PASS] 打标引擎 | 导出数据包 | 路径=情感微调_20260807_153244.jsonl 条数=3
[PASS] 日记生成 | 规划时间线 | 12 年（7岁→18岁）
[PASS] 日记生成 | 生成单篇 | 年龄=7 字数=343 来源=降级模板
[PASS] 日记生成 | 教师对话 | 未配置教师模型→友好错误: 未配置教师模型（配置→模型→教师模型）
[PASS] 日记生成 | 生成日记 | 生成 3 篇（7岁~9岁）
[PASS] 日记生成 | 导出微调文本 | 条数=3
[PASS] 微调引擎 | 检测模型能力 | Qwen2.5-0.5B-Instruct 架构=Qwen2ForCausalLM 思考=False 推荐量化=fp16 target=['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj']
[PASS] 微调引擎 | 无效路径容错 | 模型路径无效或缺少 config.json：I:\Desktop\语义回响\不存在路径
[PASS] 微调引擎 | 收集训练数据 | 总条数=69 分布={'情感': 6, '记忆': 3, '身份': 60}
[PASS] 微调引擎 | 真实微调 | 输出=j:\最后版本！\数据\微调输出\测试角色_20260807153247 轮数=1
[PASS] 推理架构 | 回响池单元 | 池大小=1 质心shape=(32,)
[PASS] 推理架构 | 推荐参数 | λ/γ/τ = 0.08/0.07/0.09（来源 扫描表）
[PASS] 推理架构 | 通用注入参数 | λ=0.024（来源 扫描表）
[PASS] 推理架构 | 记忆外挂 | 添加=j:\最后版本！\数据\... 检索到 3 条
[PASS] 推理架构 | 工厂创建 | V1/通用 引擎创建成功
[PASS] 推理架构 | V1真实生成 | 回复=，你来自哪里，你是谁？ 我是人工智能语言模型，名称为HuaTa，来自中国的深圳市... 指标熵=2.2791 耗时=10.925s
[PASS] 达标评估 | 生成达标报告 | Markdown 长度=682
[PASS] 达标评估 | 真实评估 | 综合得分=0.7556 人似度=0.8667 AI腔=0.0667 通过=True
[PASS] 达标评估 | 报告落盘 | 报告=达标报告_20260807_155600.md
[PASS] 全流程编排 | 空步骤容错 | 汇总={'总步骤数': 7, '成功': 0, '失败': 1, '跳过': 6, '整体成功': False}
[PASS] 全流程编排 | 文本全链路 | 成功=3 失败=0 跳过=4
[PASS] 全流程编排 | 含微调全链路 | 成功=4 失败=0
[PASS] 主服务 | 健康检查 | GET /api/健康 → {'状态': '正常', '版本': '0.1.0', '项目名称': '一体化全流程AI应用'}
[PASS] 主服务 | 配置接口 | GET /api/配置 → 返回配置
[PASS] 主服务 | 硬件接口 | GET /api/硬件 → 正常
[PASS] 主服务 | 模型接口 | GET /api/模型 → 正常
[PASS] 主服务 | 前端静态 | GET /前端/页面入口.html → 200 且含项目名
[PASS] 启动 | 脚本结构 | 启动.py 存在，主服务.启动服务 可导入
